titre,date,presentateurs,chaines,description,slug,catégiorie,exclu play,,,,,,,,,,,,,,
Je vends ma maison,,Sophie Pendeville,"tvi,play","Dans un contexte immobilier difficile et face à des taux d’intérêt en hausse, vendre son bien au juste prix est devenu un véritable parcours du combattant pour de nombreux propriétaires. Que ce soit pour partir en retraite sous le soleil, alléger un fardeau ou réaliser un rêve, chaque vente est une étape cruciale aux répercussions importantes sur la vie des vendeurs. 

""Je vends ma maison"" suit les histoires touchantes de 16 propriétaires, accompagnés par Sophie Pendeville et une équipe de 5 agents immobiliers de We Invest, venus de toute la Wallonie. Aux côtés d’Anouchka Déco, experte en home staging, ils relèvent le défi de rafraîchir, rénover et mettre en valeur ces biens pour les vendre au meilleur prix. 

Cette saison, l’émission va plus loin en réalisant des travaux plus importants pour réussir des ventes en un temps record, même pour des biens réputés invendables ou atypiques... comme une péniche.  ",jevendsmamaison,evenementielles,,,,,,,,,,,,,,,
Nausicaá,,Sandrine Dans (Voix off),"tvi,play","Suivez les coulisses du plus grand aquarium d’Europe à travers les yeux de celles et ceux qui se battent au quotidien pour la préservation de la biodiversité. Les soigneurs, Mélanie, Coralie, Louise et Nicolas vont devoir relever d’importants défis avec la construction d’un nouvel espace abyssal, le suivi des raies et des otaries, ainsi que des naissances de manchots. Ces bébés s’additionneront aux 58.000 animaux déjà présents, dont 1.600 espèces différentes. Plus de 2.000 naissances sont comptabilisées chaque année ! ",nausicaa,evenementielles,,,,,,,,,,,,,,,
Septante et un : le choc des duos !,Dès le 7 septembre,Jean-Michel Zecca,"tvi,play","Dès le 7 septembre, l’émission « Septante et un » diffusée le samedi, évolue !  

Tous les weekends, Jean-Michel Zecca invite 70 candidats uniques ayant éliminé l'entièreté du gradin lors de leur passage dans l'émission. Pour pimenter la partie, ce n'est pas un, mais 2 candidats aux côtés de Jean-Michel, qui affronteront le public !  

""Un duo contre tous"", avec des amis d'enfance, collègues de travail, parents ou voisins ayant tous le même objectif : éliminer les 70 candidats du public.   

Retrouvez le 71 dans sa formule classique, tous les jours à 18h30 sur RTL tvi & RTL play. 

Et ce n’est pas tout ! Pour les 20 ans de 71, RTL embarque avec des téléspectateurs pour une croisière inoubliable en Méditerranée, à bord du MSC Grandiosa du 13 au 21 octobre 2024. ",71,evenementielles,,,,,,,,,,,,,,,
Coûte que Coûte : c'est notre argent,Tous les mercredis à 19h50,Benjamin Maréchal,"tvi,play","À la suite des crises successives, les questions d’argent sont plus que jamais au cœur des préoccupations des Belges. Benjamin Maréchal et son équipe se penchent sur ces préoccupations avec des enquêtes approfondies, des astuces pratiques et des tests rigoureux pour identifier les meilleures options de consommation.",cqc,recurrents,,,,,,,,,,,,,,,
Tout s'explique,Tous les jeudis à 19h50,Loïc,"tvi,play","Pour sa 25e saison, ""Tout s’explique"", présenté par Loïc, continue de nous surprendre avec des sujets fascinants et inattendus. Des aéroports les plus dangereux au monde aux nettoyeurs de l’extrême, en passant par le monde passionnant des fermes et un voyage en Italie à la découverte des meilleures tomates, chaque épisode promet de nouvelles découvertes.",tse,recurrents,,,,,,,,,,,,,,,
Reporters,,,"tvi,play","Dans chaque émission, un fait de société ou d'actualité brûlant est traité de manière factuelle, claire et complète. Reporters traite de l'actualité chaude à travers le regard de ses témoins. Le magazine ne se concentre pas uniquement sur les faits, mais accorde une importance primordiale aux témoignages qui en découlent. L'humain est au cœur du sujet et le témoignage au cœur du traitement de l'information. ",,recurrents,,,,,,,,,,,,,,,
Enquêtes,Tous les mardis à 19h50,Bertrand Caroy,"tvi,play","Depuis plus de 20 ans, ""Enquêtes"" vous transporte dans les coulisses des interventions des forces de police à travers le pays. Flagrants délits, cambriolages, traques de pickpockets, courses-poursuites... Chaque épisode dévoile l'action et la tension du quotidien policier. Aux côtés de Bertrand Caroy, premier inspecteur et chef du service circulation de la police boraine, découvrez la réalité de nos forces de l’ordre au quotidien.",enquetes,recurrents,,,,,,,,,,,,,,,
Images à l'appui,Tous les lundis à 19h50,Salima Belabbas,"tvi,play","Après plus de 20 saisons, ""Images à l'appui"" revient avec une nouvelle identité visuelle et une ligne éditoriale modernisée. Fidèle à sa mission, l'émission continue de traquer les arnaques, les litiges et les injustices auxquels nous pouvons tous être confrontés. Notre équipe d'enquêteurs parcourt la Belgique, se posant en médiateurs dans divers conflits, révélant les scandales et dénonçant les escroqueries.",imap,recurrents,,,,,,,,,,,,,,,
Place Royale,Tous les samedis à 19h50,Alix Battard,"tvi,play","En 2024, l'actualité royale est plus que jamais à la mode ! Chaque samedi en début de soirée, rejoignez Alix Battard pour décrypter l'actualité, les tendances et l'histoire des monarchies européennes et internationales. Comment ces institutions évoluent-elles avec le temps ? Quelles sont les futures reines et rois ? Que se passe-t-il derrière les portes fermées des palais ? Découvrez les anecdotes secrètes de l'histoire et les célibataires les plus en vue du Gotha. ""Place Royale"" allie glamour et information pour répondre à toutes vos questions royales ! ",placeroyale,recurrents,,,,,,,,,,,,,,,
Elections communales,Le 13 octobre,"Luc Gilson,Caroline Fontenoy,Martin Buxant","tvi,play,info,bel","Le 13 octobre, la rédaction de RTL info vous accompagne tout au long de la journée, sur toutes nos plateformes, pour couvrir le scrutin des élections communales et provinciales. Dès l’après-midi et jusqu’en soirée, suivez l’évolution de cette élection en direct sur le digital et lors de nos RDV télé dès 17h et radio toute la journée en direct, avec un relais sur bel RTL.  ",,info,,,,,,,,,,,,,,,
